input,label
Problem: 6/18 x 2/5 | Student Answer: 1/3,conv-a
Problem: 5/14 ÷ 3/5 | Student Answer: 3/14,conv-b
Problem: 5/14 ÷ 3/5 | Student Answer: 1 3/70,conv-c
Problem: 5/14 ÷ 3/5 | Student Answer: 2/19,conv-d
Problem: 5/14 ÷ 3/5 | Student Answer: -25/42,po-a
Problem: 5/14 ÷ 3/5 | Student Answer: 1 17/25,po-b
Problem: 5/14 ÷ 3/5 | Student Answer: 8/19,po-c
Problem: 5/14 ÷ 3/5 | Student Answer: 25/42,po-d
Problem: 5/14 ÷ 3/5 | Student Answer: 15/19,pf-a
Problem: 5/14 ÷ 3/5 | Student Answer: 1 1/14,pf-b
Problem: 5/14 ÷ 3/5 | Student Answer: 4/35,pf-c
Problem: 5/14 ÷ 3/5 | Student Answer: 5/19,pf-d
Problem: 5/14 ÷ 3/5 | Student Answer: 8/9,pf-e
Problem: 5/14 ÷ 3/5 | Student Answer: 4/7,a
Problem: 4/6 x 9/17 | Student Answer: 15/17,conv-a
Problem: 4/6 x 9/17 | Student Answer: 1 7/27,conv-b
Problem: 4/6 x 9/17 | Student Answer: 11/34,conv-c
Problem: 4/6 x 9/17 | Student Answer: -5/23,conv-d
Problem: 4/6 x 9/17 | Student Answer: -6/17,po-a
Problem: 4/6 x 9/17 | Student Answer: 2 5/6,po-b
Problem: 4/6 x 9/17 | Student Answer: 5/11,po-c
Problem: 4/6 x 9/17 | Student Answer: 13/102,po-d
Problem: 4/6 x 9/17 | Student Answer: 1 13/23,pf-a
Problem: 4/6 x 9/17 | Student Answer: 6/1,pf-b
Problem: 4/6 x 9/17 | Student Answer: 13/102,pf-c
Problem: 4/6 x 9/17 | Student Answer: 4/23,pf-d
Problem: 4/6 x 9/17 | Student Answer: -1 2/11,pf-e
Problem: 4/6 x 9/17 | Student Answer: 12/17,a
Problem: 1/11 x 1/8 | Student Answer: 1/11,conv-a
Problem: 1/11 x 1/8 | Student Answer: 8/11,conv-b
Problem: 1/11 x 1/8 | Student Answer: 3/22,conv-c
Problem: 1/11 x 1/8 | Student Answer: 0/1,conv-d
Problem: 1/11 x 1/8 | Student Answer: -1/88,po-a
Problem: 1/11 x 1/8 | Student Answer: 88/1,po-b
Problem: 1/11 x 1/8 | Student Answer: 0/1,po-c
Problem: 1/11 x 1/8 | Student Answer: 1/44,po-d
Problem: 1/11 x 1/8 | Student Answer: 1/19,pf-a
Problem: 1/11 x 1/8 | Student Answer: 1/11,pf-b
Problem: 1/11 x 1/8 | Student Answer: 1/44,pf-c
Problem: 1/11 x 1/8 | Student Answer: 1/19,pf-d
Problem: 1/11 x 1/8 | Student Answer: 2/3,pf-e
Problem: 1/11 x 1/8 | Student Answer: 1/89,a
Problem: 4 5/15 + 4 1/5 | Student Answer: 5 1/20,conv-a
Problem: 4 5/15 + 4 1/5 | Student Answer: 4 1/5,conv-b
Problem: 4 5/15 + 4 1/5 | Student Answer: 22 2/5,conv-c
Problem: 4 5/15 + 4 1/5 | Student Answer: 2 1/5,conv-d
Problem: 4 5/15 + 4 1/5 | Student Answer: -8 8/15,po-a
Problem: 4 5/15 + 4 1/5 | Student Answer: 15/128,po-b
Problem: 4 5/15 + 4 1/5 | Student Answer: 18 1/5,po-c
Problem: 4 5/15 + 4 1/5 | Student Answer: 1 11/75,po-d
Problem: 4 5/15 + 4 1/5 | Student Answer: 4 3/10,pf-a
Problem: 4 5/15 + 4 1/5 | Student Answer: 5 11/15,pf-b
Problem: 4 5/15 + 4 1/5 | Student Answer: 2 1/5,pf-c
Problem: 4 5/15 + 4 1/5 | Student Answer: 2 14/15,pf-d
Problem: 4 5/15 + 4 1/5 | Student Answer: 8 3/5,pf-e
Problem: 4 5/15 + 4 1/5 | Student Answer: 8 3/5,a
Problem: 5 1/11 ÷ 3/10 | Student Answer: 1 91/110,conv-a
Problem: 5 1/11 ÷ 3/10 | Student Answer: 1 29/55,conv-b
Problem: 5 1/11 ÷ 3/10 | Student Answer: 1 91/110,conv-c
Problem: 5 1/11 ÷ 3/10 | Student Answer: 2 11/21,conv-d
Problem: 5 1/11 ÷ 3/10 | Student Answer: -16 32/33,po-a
Problem: 5 1/11 ÷ 3/10 | Student Answer: 33/560,po-b
Problem: 5 1/11 ÷ 3/10 | Student Answer: 2 17/21,po-c
Problem: 5 1/11 ÷ 3/10 | Student Answer: 16 32/33,po-d
Problem: 5 1/11 ÷ 3/10 | Student Answer: 8/1,pf-a
Problem: 5 1/11 ÷ 3/10 | Student Answer: 15 3/11,pf-b
Problem: 5 1/11 ÷ 3/10 | Student Answer: 59/110,pf-c
Problem: 5 1/11 ÷ 3/10 | Student Answer: 2 2/3,pf-d
Problem: 5 1/11 ÷ 3/10 | Student Answer: 59/1,pf-e
Problem: 5 1/11 ÷ 3/10 | Student Answer: 16 8/17,a
Problem: 4/7 ÷ 1/6 | Student Answer: 2/21,conv-a
Problem: 4/7 ÷ 1/6 | Student Answer: 2/21,conv-b
Problem: 4/7 ÷ 1/6 | Student Answer: 11/42,conv-c
Problem: 4/7 ÷ 1/6 | Student Answer: 3/13,conv-d
Problem: 4/7 ÷ 1/6 | Student Answer: -3 3/7,po-a
Problem: 4/7 ÷ 1/6 | Student Answer: 7/24,po-b
Problem: 4/7 ÷ 1/6 | Student Answer: 5/13,po-c
Problem: 4/7 ÷ 1/6 | Student Answer: 3 3/7,po-d
Problem: 4/7 ÷ 1/6 | Student Answer: 4/13,pf-a
Problem: 4/7 ÷ 1/6 | Student Answer: 4/7,pf-b
Problem: 4/7 ÷ 1/6 | Student Answer: 5/42,pf-c
Problem: 4/7 ÷ 1/6 | Student Answer: 4/13,pf-d
Problem: 4/7 ÷ 1/6 | Student Answer: 5/1,pf-e
Problem: 4/7 ÷ 1/6 | Student Answer: 6 6/7,a
Problem: 4 3/17 + 6/7 | Student Answer: 3 11/12,conv-a
Problem: 4 3/17 + 6/7 | Student Answer: 6/7,conv-b
Problem: 4 3/17 + 6/7 | Student Answer: 10 23/119,conv-c
Problem: 4 3/17 + 6/7 | Student Answer: 2 17/24,conv-d
Problem: 4 3/17 + 6/7 | Student Answer: -5 4/119,po-a
Problem: 4 3/17 + 6/7 | Student Answer: 119/599,po-b
Problem: 4 3/17 + 6/7 | Student Answer: 3 69/119,po-c
Problem: 4 3/17 + 6/7 | Student Answer: 11/17,po-d
Problem: 4 3/17 + 6/7 | Student Answer: 3 5/24,pf-a
Problem: 4 3/17 + 6/7 | Student Answer: 11/1,pf-b
Problem: 4 3/17 + 6/7 | Student Answer: 17 3/4,pf-c
Problem: 4 3/17 + 6/7 | Student Answer: 3 14/17,pf-d
Problem: 4 3/17 + 6/7 | Student Answer: 7 7/10,pf-e
Problem: 4 3/17 + 6/7 | Student Answer: 5 3/119,a
Problem: 3/6 x 4/19 | Student Answer: 2/19,conv-a
Problem: 3/6 x 4/19 | Student Answer: 2 3/8,conv-b
Problem: 3/6 x 4/19 | Student Answer: 11/57,conv-c
Problem: 3/6 x 4/19 | Student Answer: -1/25,conv-d
Problem: 3/6 x 4/19 | Student Answer: -2/19,po-a
Problem: 3/6 x 4/19 | Student Answer: 9 1/2,po-b
Problem: 3/6 x 4/19 | Student Answer: 1/13,po-c
Problem: 3/6 x 4/19 | Student Answer: 7/114,po-d
Problem: 3/6 x 4/19 | Student Answer: 12/25,pf-a
Problem: 3/6 x 4/19 | Student Answer: 2/1,pf-b
Problem: 3/6 x 4/19 | Student Answer: 7/114,pf-c
Problem: 3/6 x 4/19 | Student Answer: 3/25,pf-d
Problem: 3/6 x 4/19 | Student Answer: -7/13,pf-e
Problem: 3/6 x 4/19 | Student Answer: 3/19,a
Problem: 3 19/20 - 6/13 | Student Answer: 1 107/130,conv-a
Problem: 3 19/20 - 6/13 | Student Answer: 3 19/20,conv-b
Problem: 3 19/20 - 6/13 | Student Answer: 3 2/11,conv-c
Problem: 3 19/20 - 6/13 | Student Answer: 10 3/7,conv-d
Problem: 3 19/20 - 6/13 | Student Answer: -3 127/260,po-a
Problem: 3 19/20 - 6/13 | Student Answer: 260/907,po-b
Problem: 3 19/20 - 6/13 | Student Answer: 1 107/130,po-c
Problem: 3 19/20 - 6/13 | Student Answer: 17/52,po-d
Problem: 3 19/20 - 6/13 | Student Answer: 2 19/33,pf-a
Problem: 3 19/20 - 6/13 | Student Answer: 6 7/13,pf-b
Problem: 3 19/20 - 6/13 | Student Answer: 2 7/33,pf-c
Problem: 3 19/20 - 6/13 | Student Answer: 23 7/10,pf-d
Problem: 3 19/20 - 6/13 | Student Answer: 73/260,pf-e
Problem: 3 19/20 - 6/13 | Student Answer: 3 63/130,a
Problem: 4/14 + 2/4 | Student Answer: 1/3,conv-a
Problem: 4/14 + 2/4 | Student Answer: 2/7,conv-b
Problem: 4/14 + 2/4 | Student Answer: 1 1/9,conv-c
Problem: 4/14 + 2/4 | Student Answer: 1/9,conv-d
Problem: 4/14 + 2/4 | Student Answer: -11/14,po-a
Problem: 4/14 + 2/4 | Student Answer: 1 3/11,po-b
Problem: 4/14 + 2/4 | Student Answer: 1/7,po-c
Problem: 4/14 + 2/4 | Student Answer: 3/28,po-d
Problem: 4/14 + 2/4 | Student Answer: 3/5,pf-a
Problem: 4/14 + 2/4 | Student Answer: 1 1/2,pf-b
Problem: 4/14 + 2/4 | Student Answer: 4/9,pf-c
Problem: 4/14 + 2/4 | Student Answer: 1 1/2,pf-d
Problem: 4/14 + 2/4 | Student Answer: 3/5,pf-e
Problem: 4/14 + 2/4 | Student Answer: 6/7,a
Problem: 8/14 x 5/11 | Student Answer: 4/7,conv-a
Problem: 8/14 x 5/11 | Student Answer: 1 9/35,conv-b
Problem: 8/14 x 5/11 | Student Answer: 117/154,conv-c
Problem: 8/14 x 5/11 | Student Answer: 3/25,conv-d
Problem: 8/14 x 5/11 | Student Answer: -20/77,po-a
Problem: 8/14 x 5/11 | Student Answer: 3 17/20,po-b
Problem: 8/14 x 5/11 | Student Answer: 1/1,po-c
Problem: 8/14 x 5/11 | Student Answer: 13/154,po-d
Problem: 8/14 x 5/11 | Student Answer: 1 3/5,pf-a
Problem: 8/14 x 5/11 | Student Answer: 2 6/7,pf-b
Problem: 8/14 x 5/11 | Student Answer: 13/154,pf-c
Problem: 8/14 x 5/11 | Student Answer: 8/25,pf-d
Problem: 8/14 x 5/11 | Student Answer: 4 1/3,pf-e
Problem: 8/14 x 5/11 | Student Answer: 40/77,a
Problem: 4/8 + 10/20 | Student Answer: 1/2,conv-a
Problem: 4/8 + 10/20 | Student Answer: 8 1/4,conv-b
Problem: 4/8 + 10/20 | Student Answer: 3/4,conv-c
Problem: 4/8 + 10/20 | Student Answer: -3/14,conv-d
Problem: 4/8 + 10/20 | Student Answer: -1/1,po-a
Problem: 4/8 + 10/20 | Student Answer: 1/1,po-b
Problem: 4/8 + 10/20 | Student Answer: 1/4,po-c
Problem: 4/8 + 10/20 | Student Answer: 7/80,po-d
Problem: 4/8 + 10/20 | Student Answer: 35/1,pf-a
Problem: 4/8 + 10/20 | Student Answer: 7/10,pf-b
Problem: 4/8 + 10/20 | Student Answer: 1 3/7,pf-c
Problem: 4/8 + 10/20 | Student Answer: -3/4,pf-d
Problem: 4/8 + 10/20 | Student Answer: -1 1/6,pf-e
Problem: 4/8 + 10/20 | Student Answer: 0/1,a
Problem: 2/5 + 2/13 | Student Answer: 2/5,conv-a
Problem: 2/5 + 2/13 | Student Answer: 2/5,conv-b
Problem: 2/5 + 2/13 | Student Answer: 1/2,conv-c
Problem: 2/5 + 2/13 | Student Answer: 0/1,conv-d
Problem: 2/5 + 2/13 | Student Answer: -36/65,po-a
Problem: 2/5 + 2/13 | Student Answer: 1 29/36,po-b
Problem: 2/5 + 2/13 | Student Answer: 4/65,po-c
Problem: 2/5 + 2/13 | Student Answer: 4/65,po-d
Problem: 2/5 + 2/13 | Student Answer: 2/9,pf-a
Problem: 2/5 + 2/13 | Student Answer: 4/13,pf-b
Problem: 2/5 + 2/13 | Student Answer: 2/9,pf-c
Problem: 2/5 + 2/13 | Student Answer: 0/1,pf-d
Problem: 2/5 + 2/13 | Student Answer: -1/2,pf-e
Problem: 2/5 + 2/13 | Student Answer: 1 7/65,a
Problem: 2/16 ÷ 2 1/5 | Student Answer: 1/8,conv-a
Problem: 2/16 ÷ 2 1/5 | Student Answer: 11/40,conv-b
Problem: 2/16 ÷ 2 1/5 | Student Answer: 1 8/21,conv-c
Problem: 2/16 ÷ 2 1/5 | Student Answer: -3/7,conv-d
Problem: 2/16 ÷ 2 1/5 | Student Answer: -5/88,po-a
Problem: 2/16 ÷ 2 1/5 | Student Answer: 17 3/5,po-b
Problem: 2/16 ÷ 2 1/5 | Student Answer: 13/21,po-c
Problem: 2/16 ÷ 2 1/5 | Student Answer: 5/88,po-d
Problem: 2/16 ÷ 2 1/5 | Student Answer: 1 1/21,pf-a
Problem: 2/16 ÷ 2 1/5 | Student Answer: 1 3/8,pf-b
Problem: 2/16 ÷ 2 1/5 | Student Answer: 13/80,pf-c
Problem: 2/16 ÷ 2 1/5 | Student Answer: 2/21,pf-d
Problem: 2/16 ÷ 2 1/5 | Student Answer: 1 2/11,pf-e
Problem: 2/16 ÷ 2 1/5 | Student Answer: 3/44,a
Problem: 5/8 + 16/18 | Student Answer: 5/9,conv-a
Problem: 5/8 + 16/18 | Student Answer: 8 1/5,conv-b
Problem: 5/8 + 16/18 | Student Answer: 1 3/26,conv-c
Problem: 5/8 + 16/18 | Student Answer: -11/26,conv-d
Problem: 5/8 + 16/18 | Student Answer: -1 37/72,po-a
Problem: 5/8 + 16/18 | Student Answer: 72/109,po-b
Problem: 5/8 + 16/18 | Student Answer: 5/9,po-c
Problem: 5/8 + 16/18 | Student Answer: 7/48,po-d
Problem: 5/8 + 16/18 | Student Answer: 21/26,pf-a
Problem: 5/8 + 16/18 | Student Answer: 1 1/6,pf-b
Problem: 5/8 + 16/18 | Student Answer: 3 1/13,pf-c
Problem: 5/8 + 16/18 | Student Answer: 1 1/6,pf-d
Problem: 5/8 + 16/18 | Student Answer: -2 1/10,pf-e
Problem: 5/8 + 16/18 | Student Answer: 1 1/2,a
Problem: 1 11/16 - 2 10/12 | Student Answer: 1 11/16,conv-a
Problem: 1 11/16 - 2 10/12 | Student Answer: 16 1/27,conv-b
Problem: 1 11/16 - 2 10/12 | Student Answer: 2 3/4,conv-c
Problem: 1 11/16 - 2 10/12 | Student Answer: -1 3/4,conv-d
Problem: 1 11/16 - 2 10/12 | Student Answer: 1 7/48,po-a
Problem: 1 11/16 - 2 10/12 | Student Answer: -48/55,po-b
Problem: 1 11/16 - 2 10/12 | Student Answer: 4 25/32,po-c
Problem: 1 11/16 - 2 10/12 | Student Answer: 61/192,po-d
Problem: 1 11/16 - 2 10/12 | Student Answer: 2 5/28,pf-a
Problem: 1 11/16 - 2 10/12 | Student Answer: 5 1/12,pf-b
Problem: 1 11/16 - 2 10/12 | Student Answer: 32 11/14,pf-c
Problem: 1 11/16 - 2 10/12 | Student Answer: 5 1/12,pf-d
Problem: 1 11/16 - 2 10/12 | Student Answer: -7/192,pf-e
Problem: 1 11/16 - 2 10/12 | Student Answer: -2 7/24,a
Problem: 12/20 + 4 10/11 | Student Answer: 7 47/55,conv-a
Problem: 12/20 + 4 10/11 | Student Answer: 4 10/11,conv-b
Problem: 12/20 + 4 10/11 | Student Answer: 2 24/31,conv-c
Problem: 12/20 + 4 10/11 | Student Answer: -1 11/31,conv-d
Problem: 12/20 + 4 10/11 | Student Answer: -5 28/55,po-a
Problem: 12/20 + 4 10/11 | Student Answer: 55/303,po-b
Problem: 12/20 + 4 10/11 | Student Answer: 2 52/55,po-c
Problem: 12/20 + 4 10/11 | Student Answer: 3/10,po-d
Problem: 12/20 + 4 10/11 | Student Answer: 36 3/10,pf-a
Problem: 12/20 + 4 10/11 | Student Answer: 6/1,pf-b
Problem: 12/20 + 4 10/11 | Student Answer: -1 11/31,pf-c
Problem: 12/20 + 4 10/11 | Student Answer: -2 1/10,pf-d
Problem: 12/20 + 4 10/11 | Student Answer: 7 1/3,pf-e
Problem: 12/20 + 4 10/11 | Student Answer: 11 1/55,a
Problem: 11/14 x 1/8 | Student Answer: 11/112,conv-a
Problem: 11/14 x 1/8 | Student Answer: 6 2/7,conv-b
Problem: 11/14 x 1/8 | Student Answer: 25/112,conv-c
Problem: 11/14 x 1/8 | Student Answer: 5/11,conv-d
Problem: 11/14 x 1/8 | Student Answer: -11/112,po-a
Problem: 11/14 x 1/8 | Student Answer: 10 2/11,po-b
Problem: 11/14 x 1/8 | Student Answer: 1 2/3,po-c
Problem: 11/14 x 1/8 | Student Answer: 3/28,po-d
Problem: 11/14 x 1/8 | Student Answer: 1/2,pf-a
Problem: 11/14 x 1/8 | Student Answer: 11/14,pf-b
Problem: 11/14 x 1/8 | Student Answer: 3/28,pf-c
Problem: 11/14 x 1/8 | Student Answer: 1/2,pf-d
Problem: 11/14 x 1/8 | Student Answer: 2/1,pf-e
Problem: 11/14 x 1/8 | Student Answer: 11/113,a
Problem: 1/2 - 5 2/14 | Student Answer: 4 9/16,conv-a
Problem: 1/2 - 5 2/14 | Student Answer: 1/2,conv-b
Problem: 1/2 - 5 2/14 | Student Answer: 4 11/16,conv-c
Problem: 1/2 - 5 2/14 | Student Answer: 5 11/12,conv-d
Problem: 1/2 - 5 2/14 | Student Answer: 4 9/14,po-a
Problem: 1/2 - 5 2/14 | Student Answer: -14/65,po-b
Problem: 1/2 - 5 2/14 | Student Answer: 2 4/7,po-c
Problem: 1/2 - 5 2/14 | Student Answer: 2 17/28,po-d
Problem: 1/2 - 5 2/14 | Student Answer: 511/1,pf-a
Problem: 1/2 - 5 2/14 | Student Answer: 5 3/14,pf-b
Problem: 1/2 - 5 2/14 | Student Answer: 7/576,pf-c
Problem: 1/2 - 5 2/14 | Student Answer: 5 3/14,pf-d
Problem: 1/2 - 5 2/14 | Student Answer: -2 15/28,pf-e
Problem: 1/2 - 5 2/14 | Student Answer: -4 1/3,a
Problem: 1 5/8 ÷ 2/3 | Student Answer: 1 3/4,conv-a
Problem: 1 5/8 ÷ 2/3 | Student Answer: 1 1/12,conv-b
Problem: 1 5/8 ÷ 2/3 | Student Answer: 1 3/4,conv-c
Problem: 1 5/8 ÷ 2/3 | Student Answer: 1/1,conv-d
Problem: 1 5/8 ÷ 2/3 | Student Answer: -2 7/16,po-a
Problem: 1 5/8 ÷ 2/3 | Student Answer: 16/39,po-b
Problem: 1 5/8 ÷ 2/3 | Student Answer: 1 4/11,po-c
Problem: 1 5/8 ÷ 2/3 | Student Answer: 2 7/16,po-d
Problem: 1 5/8 ÷ 2/3 | Student Answer: 2 4/11,pf-a
Problem: 1 5/8 ÷ 2/3 | Student Answer: 3 1/4,pf-b
Problem: 1 5/8 ÷ 2/3 | Student Answer: 5/8,pf-c
Problem: 1 5/8 ÷ 2/3 | Student Answer: 1 2/11,pf-d
Problem: 1 5/8 ÷ 2/3 | Student Answer: 3/1,pf-e
Problem: 1 5/8 ÷ 2/3 | Student Answer: 2 5/17,a
Problem: 12/13 - 13/14 | Student Answer: 1 11/14,conv-a
Problem: 12/13 - 13/14 | Student Answer: 13/14,conv-b
Problem: 12/13 - 13/14 | Student Answer: 13/14,conv-c
Problem: 12/13 - 13/14 | Student Answer: 1/1,conv-d
Problem: 12/13 - 13/14 | Student Answer: 1/182,po-a
Problem: 12/13 - 13/14 | Student Answer: -182/1,po-b
Problem: 12/13 - 13/14 | Student Answer: 6/7,po-c
Problem: 12/13 - 13/14 | Student Answer: 25/182,po-d
Problem: 12/13 - 13/14 | Student Answer: 25/27,pf-a
Problem: 12/13 - 13/14 | Student Answer: 1 11/14,pf-b
Problem: 12/13 - 13/14 | Student Answer: 5 7/9,pf-c
Problem: 12/13 - 13/14 | Student Answer: 12/1,pf-d
Problem: 12/13 - 13/14 | Student Answer: -1/182,pf-e
Problem: 12/13 - 13/14 | Student Answer: -1/183,a
Problem: 4 3/18 - 6/16 | Student Answer: 4 1/6,conv-a
Problem: 4 3/18 - 6/16 | Student Answer: 18 1/75,conv-b
Problem: 4 3/18 - 6/16 | Student Answer: 4 17/24,conv-c
Problem: 4 3/18 - 6/16 | Student Answer: 34 1/2,conv-d
Problem: 4 3/18 - 6/16 | Student Answer: -3 19/24,po-a
Problem: 4 3/18 - 6/16 | Student Answer: 24/91,po-b
Problem: 4 3/18 - 6/16 | Student Answer: 1 9/16,po-c
Problem: 4 3/18 - 6/16 | Student Answer: 9/32,po-d
Problem: 4 3/18 - 6/16 | Student Answer: 72/1,pf-a
Problem: 4 3/18 - 6/16 | Student Answer: 4 1/2,pf-b
Problem: 4 3/18 - 6/16 | Student Answer: 13 4/17,pf-c
Problem: 4 3/18 - 6/16 | Student Answer: 5 1/16,pf-d
Problem: 4 3/18 - 6/16 | Student Answer: 23/96,pf-e
Problem: 4 3/18 - 6/16 | Student Answer: 3 5/6,a
Problem: 13/19 - 3/18 | Student Answer: 35/37,conv-a
Problem: 13/19 - 3/18 | Student Answer: 13/19,conv-b
Problem: 13/19 - 3/18 | Student Answer: 35/37,conv-c
Problem: 13/19 - 3/18 | Student Answer: 10/1,conv-d
Problem: 13/19 - 3/18 | Student Answer: -59/114,po-a
Problem: 13/19 - 3/18 | Student Answer: 1 55/59,po-b
Problem: 13/19 - 3/18 | Student Answer: 13/114,po-c
Problem: 13/19 - 3/18 | Student Answer: 8/171,po-d
Problem: 13/19 - 3/18 | Student Answer: 16/1,pf-a
Problem: 13/19 - 3/18 | Student Answer: 8/9,pf-b
Problem: 13/19 - 3/18 | Student Answer: 10/37,pf-c
Problem: 13/19 - 3/18 | Student Answer: 8/9,pf-d
Problem: 13/19 - 3/18 | Student Answer: 5/171,pf-e
Problem: 13/19 - 3/18 | Student Answer: 10/19,a
Problem: 4/7 ÷ 1/5 | Student Answer: 5/12,conv-a
Problem: 4/7 ÷ 1/5 | Student Answer: 4/35,conv-b
Problem: 4/7 ÷ 1/5 | Student Answer: 11/35,conv-c
Problem: 4/7 ÷ 1/5 | Student Answer: 1/4,conv-d
Problem: 4/7 ÷ 1/5 | Student Answer: -2 6/7,po-a
Problem: 4/7 ÷ 1/5 | Student Answer: 7/20,po-b
Problem: 4/7 ÷ 1/5 | Student Answer: 5/12,po-c
Problem: 4/7 ÷ 1/5 | Student Answer: 2 6/7,po-d
Problem: 4/7 ÷ 1/5 | Student Answer: 1/3,pf-a
Problem: 4/7 ÷ 1/5 | Student Answer: 4/7,pf-b
Problem: 4/7 ÷ 1/5 | Student Answer: 1/7,pf-c
Problem: 4/7 ÷ 1/5 | Student Answer: 1/3,pf-d
Problem: 4/7 ÷ 1/5 | Student Answer: 2 1/2,pf-e
Problem: 4/7 ÷ 1/5 | Student Answer: 3/1,a
Problem: 2/17 + 16/20 | Student Answer: 76/85,conv-a
Problem: 2/17 + 16/20 | Student Answer: 2/17,conv-b
Problem: 2/17 + 16/20 | Student Answer: 35/37,conv-c
Problem: 2/17 + 16/20 | Student Answer: -14/37,conv-d
Problem: 2/17 + 16/20 | Student Answer: -78/85,po-a
Problem: 2/17 + 16/20 | Student Answer: 1 7/78,po-b
Problem: 2/17 + 16/20 | Student Answer: 8/85,po-c
Problem: 2/17 + 16/20 | Student Answer: 9/170,po-d
Problem: 2/17 + 16/20 | Student Answer: 21 3/17,pf-a
Problem: 2/17 + 16/20 | Student Answer: 9/10,pf-b
Problem: 2/17 + 16/20 | Student Answer: 32/37,pf-c
Problem: 2/17 + 16/20 | Student Answer: 1 15/17,pf-d
Problem: 2/17 + 16/20 | Student Answer: -6/1,pf-e
Problem: 2/17 + 16/20 | Student Answer: 79/85,a
Problem: 10/17 x 11/12 | Student Answer: 1 9/29,conv-a
Problem: 10/17 x 11/12 | Student Answer: 120/187,conv-b
Problem: 10/17 x 11/12 | Student Answer: 1 9/29,conv-c
Problem: 10/17 x 11/12 | Student Answer: -1/29,conv-d
Problem: 10/17 x 11/12 | Student Answer: -55/102,po-a
Problem: 10/17 x 11/12 | Student Answer: 1 47/55,po-b
Problem: 10/17 x 11/12 | Student Answer: -1/5,po-c
Problem: 10/17 x 11/12 | Student Answer: 7/68,po-d
Problem: 10/17 x 11/12 | Student Answer: 3 23/29,pf-a
Problem: 10/17 x 11/12 | Student Answer: 6 8/17,pf-b
Problem: 10/17 x 11/12 | Student Answer: 7/68,pf-c
Problem: 10/17 x 11/12 | Student Answer: 10/29,pf-d
Problem: 10/17 x 11/12 | Student Answer: 4 1/5,pf-e
Problem: 10/17 x 11/12 | Student Answer: 28/51,a
Problem: 2 1/4 + 3 1/2 | Student Answer: 2 2/3,conv-a
Problem: 2 1/4 + 3 1/2 | Student Answer: 2 1/4,conv-b
Problem: 2 1/4 + 3 1/2 | Student Answer: 11 3/8,conv-c
Problem: 2 1/4 + 3 1/2 | Student Answer: 1/3,conv-d
Problem: 2 1/4 + 3 1/2 | Student Answer: -5 3/4,po-a
Problem: 2 1/4 + 3 1/2 | Student Answer: 4/23,po-b
Problem: 2 1/4 + 3 1/2 | Student Answer: 7 7/8,po-c
Problem: 2 1/4 + 3 1/2 | Student Answer: 2/1,po-d
Problem: 2 1/4 + 3 1/2 | Student Answer: 8/1,pf-a
Problem: 2 1/4 + 3 1/2 | Student Answer: 4/1,pf-b
Problem: 2 1/4 + 3 1/2 | Student Answer: 3/7,pf-c
Problem: 2 1/4 + 3 1/2 | Student Answer: 15 3/4,pf-d
Problem: 2 1/4 + 3 1/2 | Student Answer: 8/1,pf-e
Problem: 2 1/4 + 3 1/2 | Student Answer: 4 3/5,a
Problem: 10/16 ÷ 14/18 | Student Answer: 12/17,conv-a
Problem: 10/16 ÷ 14/18 | Student Answer: 35/72,conv-b
Problem: 10/16 ÷ 14/18 | Student Answer: 29/48,conv-c
Problem: 10/16 ÷ 14/18 | Student Answer: -2/17,conv-d
Problem: 10/16 ÷ 14/18 | Student Answer: -45/56,po-a
Problem: 10/16 ÷ 14/18 | Student Answer: 1 11/45,po-b
Problem: 10/16 ÷ 14/18 | Student Answer: 12/17,po-c
Problem: 10/16 ÷ 14/18 | Student Answer: 45/56,po-d
Problem: 10/16 ÷ 14/18 | Student Answer: 4 2/17,pf-a
Problem: 10/16 ÷ 14/18 | Student Answer: 8 3/4,pf-b
Problem: 10/16 ÷ 14/18 | Student Answer: 1/12,pf-c
Problem: 10/16 ÷ 14/18 | Student Answer: 5/17,pf-d
Problem: 10/16 ÷ 14/18 | Student Answer: -12/1,pf-e
Problem: 10/16 ÷ 14/18 | Student Answer: 1 17/28,a
Problem: 2 3/5 - 14/18 | Student Answer: 1 9/23,conv-a
Problem: 2 3/5 - 14/18 | Student Answer: 5 1/13,conv-b
Problem: 2 3/5 - 14/18 | Student Answer: 2 4/5,conv-c
Problem: 2 3/5 - 14/18 | Student Answer: 1/13,conv-d
Problem: 2 3/5 - 14/18 | Student Answer: -1 37/45,po-a
Problem: 2 3/5 - 14/18 | Student Answer: 45/82,po-b
Problem: 2 3/5 - 14/18 | Student Answer: 2 1/45,po-c
Problem: 2 3/5 - 14/18 | Student Answer: 3/10,po-d
Problem: 2 3/5 - 14/18 | Student Answer: 97 1/5,pf-a
Problem: 2 3/5 - 14/18 | Student Answer: 1 1/2,pf-b
Problem: 2 3/5 - 14/18 | Student Answer: 117/161,pf-c
Problem: 2 3/5 - 14/18 | Student Answer: 1 1/2,pf-d
Problem: 2 3/5 - 14/18 | Student Answer: -1/90,pf-e
Problem: 2 3/5 - 14/18 | Student Answer: 1 4/5,a
Problem: 11/15 + 9/15 | Student Answer: 1 1/25,conv-a
Problem: 11/15 + 9/15 | Student Answer: 11/15,conv-b
Problem: 11/15 + 9/15 | Student Answer: 58/75,conv-c
Problem: 11/15 + 9/15 | Student Answer: 1/15,conv-d
